master_key,source_id,trade_name,active_ingredient,strength,dosage_form,package_shape,manufacturer_ar,source,source_uri
XRDF-1209,1209,TYLOXI MOND F.CTD TAB.,PARACETAMOL,500 MG/CTD TAB.,أقراص ملبسة,FOR /20/F.CTD TAB.BLISTER,دياموند فارما,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/1209
XRDF-12090,12090,BACTAPEN-3000 VIAL,AMPICILLIN+SULBACTAM,2000 MG+1000 MG/VIAL,بودرة للحقن/فيال,FOR /1/VIAL,الشركة الوطنية للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12090
XRDF-12091,12091,ATROPINA-0.5 % EYE DROPS,ATROPINE SULFATE,0.5 %,قطرة عينية,FOR /5/ML.EYE DROP IN GLASS BOTTLE,معمل دلتا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12091
XRDF-12092,12092,BACTAPEN-750 VIAL,AMPICILLIN+SULBACTAM,500 MG+250 MG/VIAL,بودرة للحقن/فيال,FOR /1/VIAL,الشركة الوطنية للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12092
XRDF-12093,12093,ATROPINA-1 % EYE DROPS,ATROPINE SULFATE,1 %,قطرة عينية,FOR /8/ML.EYE DROP IN GLASS BOTTLE,معمل دلتا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12093
XRDF-12094,12094,BACTE DERM,BETAMETHASONE+FUSIDIC ACID,0.1 %+2 %,كريم,FOR /30/G.CREAM IN ALU.TUBE,معمل الشهباء لصناعة الادوية البشرية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12094
XRDF-12095,12095,ATROPINA-1 % EYE DROPS,ATROPINE SULFATE,1 %,قطرة عينية,FOR /5/ML.EYE DROP IN GLASS BOTTLE,معمل دلتا للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12095
XRDF-12096,12096,BACTEROCID,MUPIROCIN,2 %,مرهم,FOR /15/G.OINT.IN ALU.TUBE,شركة المتحدة للصناعات الدوائية المحدودة المسؤولية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12096
XRDF-12097,12097,ATROPINE ELSAAD-0.25 AMP.,ATROPINE SULFATE,0.25 MG/AMP.,محلول للحقن/حبابات,FOR /5/AMP.OF 1ML.,معمل السعد للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12097
XRDF-12098,12098,BACTOSIN OINT,MUPIROCIN,2 %,مرهم,FOR /15/G.OINT.IN ALU.TUBE,شركة ابن الهيثم للصناعات الدوائية,SYRIA_MOH_XRDF,http://localhost:2020/dbo/moh_drugs/12098
